fk_x_invoice_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:25:39.725",...,USD,0,0,0,0,1,1,0,0,NULL,NULL,"2015-05-18 17:11:51","2015-05-18 17:11:51",NULL,...
...,"2017-03-27 22:25:41.992",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-05-25 18:13:38","2015-05-18 17:11:51","2015-05-25 17:11:51",NULL,...
...,"2017-03-27 22:25:42.024",...,USD,1900,1900,1900,0,1,1,0,1,2721-0097,NULL,"2015-05-18 17:11:51","2015-05-25 17:11:51",NULL,...
...,"2017-03-27 22:26:02.743",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-06-25 18:17:43","2015-05-25 17:11:51","2015-06-25 17:11:51",NULL,...
...,"2017-03-27 22:26:02.794",...,USD,1900,1900,1900,0,1,1,0,1,2754-5900,NULL,"2015-05-25 17:11:51","2015-06-25 17:11:51",NULL,...
...,"2017-03-27 22:27:02.029",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-07-25 18:18:27","2015-06-25 17:11:51","2015-07-25 17:11:51",NULL,...
...,"2017-03-27 22:27:02.128",...,USD,1900,1900,1900,0,1,1,0,1,2037-9859,NULL,"2015-06-25 17:11:51","2015-07-25 17:11:51",NULL,...
...,"2017-03-27 22:29:38.707",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-08-25 18:16:04","2015-07-25 17:11:51","2015-08-25 17:11:51",NULL,...
...,"2017-03-27 22:29:38.948",...,USD,1900,1900,1900,0,1,1,0,1,2219-0490,NULL,"2015-07-25 17:11:51","2015-08-25 17:11:51",NULL,...
...,"2017-03-27 22:30:44.878",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-09-25 18:37:20","2015-08-25 17:11:51","2015-09-25 17:11:51",NULL,...
...,"2017-03-27 22:30:44.935",...,USD,1900,1900,1900,0,1,1,0,1,2023-7264,NULL,"2015-08-25 17:11:51","2015-09-25 17:11:51",NULL,...
...,"2017-03-27 22:31:12.077",...,USD,3976,3976,3976,0,0,0,0,0,NULL,"2015-10-08 19:40:21",NULL,NULL,NULL,...
...,"2017-03-27 22:31:12.128",...,USD,3976,3976,3976,0,1,1,0,1,2732-4370,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:14.184",...,USD,10553,10553,10553,0,0,0,0,0,NULL,"2015-10-09 19:39:57",NULL,NULL,NULL,...
...,"2017-03-27 22:31:14.288",...,USD,10553,10553,10553,0,1,1,0,1,2456-9823,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:17.184",...,USD,10641,10641,10641,0,0,0,0,0,NULL,"2015-10-10 19:40:11",NULL,NULL,NULL,...
...,"2017-03-27 22:31:17.506",...,USD,10641,10641,10641,0,1,1,0,1,2089-4299,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:22.235",...,USD,11611,11611,11611,0,0,0,0,0,NULL,"2015-10-11 19:40:09",NULL,NULL,NULL,...
...,"2017-03-27 22:31:22.671",...,USD,11611,11611,11611,0,1,1,0,1,2607-5095,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:25.137",...,USD,2926,2926,2926,0,0,0,0,0,NULL,"2015-10-12 19:39:30",NULL,NULL,NULL,...
...,"2017-03-27 22:31:25.215",...,USD,2926,2926,2926,0,1,1,0,1,2360-2666,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:26.826",...,USD,2054,2054,2054,0,0,0,0,0,NULL,"2015-10-13 19:39:32",NULL,NULL,NULL,...
...,"2017-03-27 22:31:26.860",...,USD,2054,2054,2054,0,1,1,0,1,2911-3355,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:29.391",...,USD,12682,12682,12682,0,0,0,0,0,NULL,"2015-10-14 19:39:34",NULL,NULL,NULL,...
...,"2017-03-27 22:31:29.609",...,USD,12682,12682,12682,0,1,1,0,1,2920-6463,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:33.015",...,USD,13041,13041,13041,0,0,0,0,0,NULL,"2015-10-15 19:39:34",NULL,NULL,NULL,...
...,"2017-03-27 22:31:33.407",...,USD,13041,13041,13041,0,1,1,0,1,2677-0466,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:38.003",...,USD,8355,8355,8355,0,0,0,0,0,NULL,"2015-10-16 19:39:29",NULL,NULL,NULL,...
...,"2017-03-27 22:31:38.270",...,USD,8355,8355,8355,0,1,1,0,1,2576-8355,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:41.295",...,USD,7098,7098,7098,0,0,0,0,0,NULL,"2015-10-17 19:39:21",NULL,NULL,NULL,...
...,"2017-03-27 22:31:41.563",...,USD,7098,7098,7098,0,1,1,0,1,2658-2754,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:45.222",...,USD,7336,7336,7336,0,0,0,0,0,NULL,"2015-10-18 19:39:28",NULL,NULL,NULL,...
...,"2017-03-27 22:31:45.501",...,USD,7336,7336,7336,0,1,1,0,1,2154-4606,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:47.958",...,USD,1565,1565,1565,0,0,0,0,0,NULL,"2015-10-19 19:39:23",NULL,NULL,NULL,...
...,"2017-03-27 22:31:48.026",...,USD,1565,1565,1565,0,1,1,0,1,2848-3449,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:49.912",...,USD,7061,7061,7061,0,0,0,0,0,NULL,"2015-10-20 19:39:18",NULL,NULL,NULL,...
...,"2017-03-27 22:31:50.142",...,USD,7061,7061,7061,0,1,1,0,1,2207-8943,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:53.768",...,USD,10578,10578,10578,0,0,0,0,0,NULL,"2015-10-21 19:39:31",NULL,NULL,NULL,...
...,"2017-03-27 22:31:54.022",...,USD,10578,10578,10578,0,1,1,0,1,2686-8533,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:31:57.295",...,USD,11179,11179,11179,0,0,0,0,0,NULL,"2015-10-22 19:39:11",NULL,NULL,NULL,...
...,"2017-03-27 22:31:57.629",...,USD,11179,11179,11179,0,1,1,0,1,2689-4340,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:01.985",...,USD,15133,15133,15133,0,0,0,0,0,NULL,"2015-10-23 19:39:15",NULL,NULL,NULL,...
...,"2017-03-27 22:32:02.368",...,USD,15133,15133,15133,0,1,1,0,1,2205-5038,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:07.212",...,USD,12813,12813,12813,0,0,0,0,0,NULL,"2015-10-24 19:39:18",NULL,NULL,NULL,...
...,"2017-03-27 22:32:07.522",...,USD,12813,12813,12813,0,1,1,0,1,2716-4728,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:09.898",...,USD,1900,1900,1900,0,0,0,0,0,NULL,"2015-10-25 18:40:22","2015-09-25 17:11:51","2015-10-25 17:11:51",NULL,...
...,"2017-03-27 22:32:13.365",...,USD,1900,1900,1900,0,1,1,0,1,2980-9233,NULL,"2015-09-25 17:11:51","2015-10-25 17:11:51",NULL,...
...,"2017-03-27 22:32:10.788",...,USD,9858,9858,9858,0,0,0,0,0,NULL,"2015-10-25 19:39:12",NULL,NULL,NULL,...
...,"2017-03-27 22:32:11.092",...,USD,9858,9858,9858,0,1,1,0,1,2526-1841,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:13.016",...,USD,830,830,830,0,0,0,0,0,NULL,"2015-10-25 19:40:09",NULL,NULL,NULL,...
...,"2017-03-27 22:32:13.041",...,USD,830,830,830,0,1,1,0,1,2212-4108,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:13.992",...,USD,2730,2730,2730,0,0,0,0,0,NULL,"2015-10-26 19:38:56",NULL,NULL,NULL,...
...,"2017-03-27 22:32:14.404",...,USD,2730,2730,2730,0,1,1,0,1,2979-3869,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:16.177",...,USD,7910,7910,7910,0,0,0,0,0,NULL,"2015-10-27 19:39:03",NULL,NULL,NULL,...
...,"2017-03-27 22:32:16.403",...,USD,7910,7910,7910,0,1,1,0,1,2165-1329,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:25.333",...,USD,7911,7911,7911,0,0,0,0,0,NULL,"2015-11-11 04:48:16",NULL,NULL,NULL,...
...,"2017-03-27 22:32:25.597",...,USD,7911,7911,7911,0,1,1,0,1,2791-5588,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:32:50.821",...,USD,34365,34365,34365,0,0,0,0,0,NULL,"2015-11-11 04:57:28",NULL,NULL,NULL,...
...,"2017-03-27 22:32:51.684",...,USD,34365,34365,34365,0,1,1,0,1,2249-0803,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:11.244",...,USD,67352,67352,67352,0,0,0,0,0,NULL,"2015-11-19 03:47:22",NULL,NULL,NULL,...
...,"2017-03-27 22:33:14.283",...,USD,67352,67352,67352,0,1,1,0,1,2788-6432,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:21.095",...,USD,28411,28411,28411,0,0,0,0,0,NULL,"2015-11-19 03:52:09",NULL,NULL,NULL,...
...,"2017-03-27 22:33:21.579",...,USD,28411,28411,28411,0,1,1,0,1,2060-8493,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:23.015",...,USD,11523,11523,11523,0,0,0,0,0,NULL,"2015-11-19 03:52:38",NULL,NULL,NULL,...
...,"2017-03-27 22:33:23.260",...,USD,11523,11523,11523,0,1,1,0,1,2124-2906,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:24.535",...,USD,15197,15197,15197,0,0,0,0,0,NULL,"2015-11-19 03:53:17",NULL,NULL,NULL,...
...,"2017-03-27 22:33:24.846",...,USD,15197,15197,15197,0,1,1,0,1,2106-5699,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:34.625",...,USD,9525,9525,9525,0,0,0,0,0,NULL,"2015-11-19 03:56:41",NULL,NULL,NULL,...
...,"2017-03-27 22:33:34.896",...,USD,9525,9525,9525,0,1,1,0,1,2069-2175,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:37.854",...,USD,19807,19807,19807,0,0,0,0,0,NULL,"2015-11-24 01:15:45",NULL,NULL,NULL,...
...,"2017-03-27 22:33:38.230",...,USD,19807,19807,19807,0,1,1,0,1,2762-4800,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:39.606",...,USD,21595,21595,21595,0,0,0,0,0,NULL,"2015-11-24 01:17:08",NULL,NULL,NULL,...
...,"2017-03-27 22:33:39.929",...,USD,21595,21595,21595,0,1,1,0,1,2101-6085,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:41.450",...,USD,19704,19704,19704,0,0,0,0,0,NULL,"2015-11-24 01:17:51",NULL,NULL,NULL,...
...,"2017-03-27 22:33:41.823",...,USD,19704,19704,19704,0,1,1,0,1,2652-4996,NULL,NULL,NULL,NULL,...
...,"2017-03-27 22:33:43.229",...,USD,11157,11157,11157,0,0,0,0,0,NULL,"2015-11-24 01:18:07",NULL,NULL,NULL,...
